temperature,rain_1h,snow_1h,clouds_percentage,population_density,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday,date_time_1,date_time_2,date_time_3,date_time_4
276.0,0.0,0.0,90,5936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
278.87,0.0,0.0,90,4540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
270.77,0.0,0.0,90,6752,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
249.62,0.0,0.0,1,1210,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
263.98,0.0,0.0,75,3455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
283.99,0.0,0.0,90,5459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
275.61,0.0,0.0,90,271,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
275.02,0.25,0.0,90,6309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
293.37,0.0,0.0,1,950,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
300.22,0.0,0.0,1,6698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294.72,0.0,0.0,90,4379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
287.12,0.0,0.0,90,6244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
292.85,0.0,0.0,75,576,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
284.81,0.0,0.0,5,2629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
290.15,0.0,0.0,1,5462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
264.33,0.0,0.0,75,354,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
266.71,0.0,0.0,90,1060,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
295.65,0.0,0.0,40,367,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
276.55,0.0,0.0,75,4982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
285.83,0.0,0.0,1,5317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
276.55,0.0,0.0,90,894,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
269.78,0.0,0.0,1,318,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
260.59,0.0,0.0,64,2627,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
280.49,0.0,0.0,90,808,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
254.51,0.0,0.0,1,3669,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
276.36,0.0,0.0,90,6629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
277.82,0.0,0.0,90,3732,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
286.72,0.0,0.0,75,5875,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
256.53,0.0,0.0,1,3607,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
292.62,1.06,0.0,75,522,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
288.35,0.0,0.0,1,2251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
298.14,0.0,0.0,1,2461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
300.94,0.0,0.0,1,3886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
273.01,0.0,0.0,1,5224,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
287.32,0.0,0.0,88,3141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
292.2,0.0,0.0,1,1613,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
278.56,0.0,0.0,64,616,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
284.93,0.0,0.0,90,4852,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
285.62,0.0,0.0,90,5765,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
276.48,0.0,0.0,5,4024,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
259.77,0.0,0.0,64,1002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
292.66,0.0,0.0,1,325,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
286.65,0.0,0.0,1,395,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
292.74,0.0,0.0,0,2233,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
293.49,6.1,0.0,75,543,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
276.65,0.0,0.0,90,3222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
275.58,0.0,0.0,90,6310,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274.22,0.0,0.0,90,2675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
272.15,0.0,0.0,1,1252,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
296.89,0.0,0.0,75,3224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
287.51,0.0,0.0,1,3626,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
265.62,0.0,0.0,1,369,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
290.28,0.0,0.0,0,6298,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
276.29,0.0,0.0,1,352,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
277.92,0.0,0.0,1,6131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
266.53,0.0,0.0,90,4705,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
269.68,0.0,0.0,1,5083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
282.565,0.0,0.0,0,6172,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
277.43,0.0,0.0,1,4406,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
281.34,0.0,0.0,0,841,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
271.98,0.0,0.0,90,2513,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
294.2,0.0,0.0,75,3324,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
270.365,0.0,0.0,0,2513,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
276.7,0.0,0.0,75,5698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
271.08,0.0,0.0,90,4856,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
271.71,0.0,0.0,90,748,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
273.15,0.0,0.0,1,4542,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
291.67,0.0,0.0,20,3245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
250.43,0.0,0.0,75,1098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
264.08,0.0,0.0,90,318,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
276.07,0.0,0.0,90,4652,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
275.86,0.0,0.0,90,5691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
266.14,0.0,0.0,1,464,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
301.82,0.0,0.0,40,3127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
289.06,0.0,0.0,40,2812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
261.08,0.0,0.0,0,3555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
255.55,0.0,0.0,1,354,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
299.57,0.0,0.0,40,4708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
273.89,0.0,0.0,1,2214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
281.43,0.0,0.0,90,507,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
299.41,0.0,0.0,40,3993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
248.88,0.0,0.0,1,282,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
296.0,0.0,0.0,92,5896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
298.01,0.0,0.0,40,4807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274.89,1.11,0.0,90,4124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
303.5,0.0,0.0,75,5672,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274.44,0.0,0.0,64,5945,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
273.37,0.0,0.0,90,6683,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
284.13,0.25,0.0,90,4549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
282.82,0.0,0.0,90,643,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
295.69,0.0,0.0,90,5304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274.85,0.0,0.0,1,6574,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
277.63,0.0,0.0,75,7076,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
269.93,0.0,0.0,5,3996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
302.08,0.0,0.0,40,5560,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274.62,0.0,0.0,1,1359,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
274.02,0.0,0.0,1,269,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
291.68,0.0,0.0,1,362,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
271.09,0.0,0.0,90,1755,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
279.96,0.0,0.0,1,1638,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
278.55,0.0,0.0,75,1942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
263.23,0.0,0.0,1,545,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
286.29,0.0,0.0,1,4652,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
272.58,0.0,0.0,1,6199,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
297.69,0.0,0.0,68,2109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
269.34,0.0,0.0,5,3509,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
269.1,0.0,0.0,64,4622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
298.72,0.0,0.0,90,5125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294.82,0.0,0.0,1,2693,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
269.38,0.0,0.0,64,3157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
292.21,0.0,0.0,0,4956,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
292.76,0.0,0.0,75,3330,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
290.22,0.0,0.0,1,2117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
293.53,0.0,0.0,75,3578,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
291.01,0.0,0.0,1,428,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
300.987,0.0,0.0,0,4969,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
293.52,0.0,0.0,75,4185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
290.8,0.0,0.0,1,348,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
284.53,0.0,0.0,0,1116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
271.21,0.0,0.0,90,1243,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
281.01,0.0,0.0,1,5687,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
295.93,0.0,0.0,0,5244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
