temperature,rain_1h,snow_1h,clouds_percentage,population_density,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday,date_time_1,date_time_2,date_time_3,date_time_4
267.08,0.0,0.0,1,340,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
260.58,0.0,0.0,75,301,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
274.03,0.0,0.0,90,6957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
285.34,0.0,0.0,75,5847,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
279.89,0.0,0.0,1,6372,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
300.74,0.0,0.0,36,5820,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
293.58,0.6,0.0,1,408,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
277.49,0.0,0.0,1,4461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
267.43,0.0,0.0,90,3490,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
272.77,0.0,0.0,90,5248,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
280.17,0.0,0.0,90,5079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
291.86,0.0,0.0,90,1796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
292.2,0.0,0.0,1,1613,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
282.36,0.0,0.0,90,4844,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
272.65,0.0,0.0,90,514,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
292.58,0.0,0.0,75,3980,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
251.15,0.0,0.0,90,606,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
256.32,0.0,0.0,64,5469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294.035,0.0,0.0,68,4895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294.15,0.0,0.0,1,668,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
280.42,0.0,0.0,90,3697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
286.64,0.0,0.0,90,5781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
266.35,0.0,0.0,90,5620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
284.44,0.0,0.0,75,352,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
271.41,0.0,0.0,75,5190,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
269.16,0.0,0.0,1,5245,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
265.22,0.0,0.0,40,5717,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
302.26,0.0,0.0,0,5628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
